TIPO_PREST	TIPO_PREST_DESC	ESTAB_ORIG	ESTAB_DEST	ESTAB_DEST_NOMBRE	PRESTA_MIN	ESPECIALIDAD_SIGTE	AÑO	MES	N_ENTRADAS
1	Consulta Especialidad	112607	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2014	9	1
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2015	8	1
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2015	9	2
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2015	10	6
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2015	11	7
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2015	12	5
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	2	5
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	3	15
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	5	2
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	6	2
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	7	4
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	8	18
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	9	24
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	10	19
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	11	22
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	12	11
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	1	8
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	3	8
