TIPO_PREST	PRESTA_MIN	ESTAB_ORIG	ESTAB_ORIG_NOMBRE	ESTAB_ORIG_COMUNA	ESTAB_DEST	ESTAB_DEST_NOMBRE	TIPO_PREST_DESC	F_ENTRADA_ANO	ESPECIALIDAD_SIGTE	CORTE_SIGTE	NRegistros	AÑO	MES	TRIMESTRE	CORTE LET	LET		CORTE_SIGTE	AÑO	MES	TRIMESTRE	TRIMESTRE	CORTE TRIM
1	07-058	114010	SERVICIO DE SALUD METROPOLITANO SUR ORIENTE	PUENTE ALTO	114101	HOSPITAL DR. SÓTERO DEL RÍO	Consulta Especialidad	2016	GINECOLOGIA	2018-08-16	14	2018	8	T3	2018-08-16	1657		2018-08-16	2018	8	T3	T3	2018-08-16
1	07-058	114010	SERVICIO DE SALUD METROPOLITANO SUR ORIENTE	PUENTE ALTO	114101	HOSPITAL DR. SÓTERO DEL RÍO	Consulta Especialidad	2017	GINECOLOGIA	2018-08-16	8	2018	8	T3	2018-08-16	1657		2018-09-04	2018	9		T3	2018-08-16
1	07-058	114010	SERVICIO DE SALUD METROPOLITANO SUR ORIENTE	PUENTE ALTO	114101	HOSPITAL DR. SÓTERO DEL RÍO	Consulta Especialidad	2018	GINECOLOGIA	2018-08-16	3	2018	8	T3	2018-08-16	1657		2018-09-26	2018	10	T4	T4	2018-09-26
1	07-058	114101	HOSPITAL DR. SÓTERO DEL RÍO	PUENTE ALTO	114101	HOSPITAL DR. SÓTERO DEL RÍO	Consulta Especialidad	2015	GINECOLOGIA	2018-08-16	2	2018	8	T3	2018-08-16	1657		2018-11-05	2018	11		T4	2018-09-26
1	07-058	114101	HOSPITAL DR. SÓTERO DEL RÍO	PUENTE ALTO	114101	HOSPITAL DR. SÓTERO DEL RÍO	Consulta Especialidad	2016	GINECOLOGIA	2018-08-16	153	2018	8	T3	2018-08-16	1657		2018-12-06	2018	12		T4	2018-09-26
1	07-058	114101	HOSPITAL DR. SÓTERO DEL RÍO	PUENTE ALTO	114101	HOSPITAL DR. SÓTERO DEL RÍO	Consulta Especialidad	2017	GINECOLOGIA	2018-08-16	230	2018	8	T3	2018-08-16	1657		2019-01-08	2019	1	T1	T1	2019-01-08
1	07-058	114101	HOSPITAL DR. SÓTERO DEL RÍO	PUENTE ALTO	114101	HOSPITAL DR. SÓTERO DEL RÍO	Consulta Especialidad	2018	GINECOLOGIA	2018-08-16	216	2018	8	T3	2018-08-16	1657		2019-02-07	2019	2		T1	2019-01-08
1	07-058	114101	HOSPITAL DR. SÓTERO DEL RÍO	PUENTE ALTO	114103	HOSPITAL PADRE HURTADO	Consulta Especialidad	2014	GINECOLOGIA	2018-08-16	1	2018	8	T3	2018-08-16	3506		2019-03-04	2019	3		T1	2019-01-08
1	07-058	114101	HOSPITAL DR. SÓTERO DEL RÍO	PUENTE ALTO	114103	HOSPITAL PADRE HURTADO	Consulta Especialidad	2016	GINECOLOGIA	2018-08-16	1	2018	8	T3	2018-08-16	3506		2019-04-12	2019	4	T2	T2	2019-04-12
1	07-058	114101	HOSPITAL DR. SÓTERO DEL RÍO	PUENTE ALTO	114103	HOSPITAL PADRE HURTADO	Consulta Especialidad	2017	GINECOLOGIA	2018-08-16	7	2018	8	T3	2018-08-16	3506		2019-05-17	2019	5		T2	2019-04-12
