COD_DEIS	Año	Mes	Trimestre	COD_SIGTE	REM_CONSULTA	REM_CONSULTA_NUEVA	REM_CONSULTA_CONTROL	REM_PERTINENTES	REM_NSP	REM_ALTAS
114101	2018	1	T1	07-058	1086	209	877	82	182	106
114101	2018	2	T1	07-058	708	148	560	64	166	84
114101	2018	3	T1	07-058	1239	333	906	146	147	121
114101	2018	4	T2	07-058	1289	298	991	138	192	173
114101	2018	5	T2	07-058	1212	285	927	99	224	129
114101	2018	6	T2	07-058	1197	304	893	148	163	133
114101	2018	7	T3	07-058	999	263	736	97	146	86
114101	2018	8	T3	07-058	1407	341	1066	143	248	107
114101	2018	9	T3	07-058	939	222	717	113	154	85
114101	2018	10	T4	07-058	1373	400	973	228	208	129
114101	2018	11	T4	07-058	1188	357	831	208	165	114
114101	2018	12	T4	07-058	1058	339	719	196	149	99
114103	2018	1	T1	07-058	1319	266	1053	205	515	0
114103	2018	2	T1	07-058	980	208	772	156	451	0
114103	2018	3	T1	07-058	1394	242	1152	170	387	0
114103	2018	4	T2	07-058	1542	329	1213	264	348	0
114103	2018	5	T2	07-058	1355	266	1089	233	290	0
114103	2018	6	T2	07-058	1248	301	947	261	312	0
114103	2018	7	T3	07-058	1097	229	868	155	344	0
114103	2018	8	T3	07-058	1460	252	1208	262	442	0
114103	2018	9	T3	07-058	1236	229	1007	191	354	9
114103	2018	10	T4	07-058	1161	249	912	187	348	7
114103	2018	11	T4	07-058	1151	226	925	163	445	5
114103	2018	12	T4	07-058	925	198	727	152	400	25
114105	2018	1	T1	07-058	552	524	28	168	67	19
114105	2018	2	T1	07-058	447	149	298	116	53	71
114105	2018	3	T1	07-058	645	224	421	178	69	63
114105	2018	4	T2	07-058	624	216	408	172	82	74
114105	2018	5	T2	07-058	677	221	456	174	78	58
114105	2018	6	T2	07-058	530	149	381	125	73	38
114105	2018	7	T3	07-058	587	221	366	170	69	35
114105	2018	8	T3	07-058	693	257	436	207	78	55
114105	2018	9	T3	07-058	469	166	303	128	65	45
114105	2018	10	T4	07-058	598	208	390	163	108	52
114105	2018	11	T4	07-058	536	142	394	98	114	57
114105	2018	12	T4	07-058	540	131	409	94	94	39
200282	2018	1	T1	07-058	37	31	6	14	1	0
200282	2018	2	T1	07-058	31	11	20	9	1	2
200282	2018	3	T1	07-058	62	44	18	36	8	3
200282	2018	4	T2	07-058	144	95	49	78	26	8
200282	2018	5	T2	07-058	118	52	66	43	12	7
200282	2018	6	T2	07-058	115	56	59	40	12	8
200282	2018	7	T3	07-058	233	139	94	127	43	14
200282	2018	8	T3	07-058	194	69	125	62	32	21
200282	2018	9	T3	07-058	106	50	56	43	21	9
200282	2018	10	T4	07-058	157	70	87	59	35	16
200282	2018	11	T4	07-058	147	57	90	48	26	13
200282	2018	12	T4	07-058	111	39	72	34	18	14
114101	2019	1	T1	07-058	1452	386	1066	180	283	119
114101	2019	2	T1	07-058	892	245	647	114	174	88
114101	2019	3	T1	07-058	1331	300	1031	120	219	163
114101	2019	4	T2	07-058	1341	336	1005	162	205	142
114101	2019	5	T2	07-058	1291	328	963	166	218	121
114101	2019	6	T2	07-058	1375	337	1038	148	180	129
114101	2019	7	T3	07-058	1388	362	1026	148	214	115
114101	2019	8	T3	07-058	1301	403	898	175	204	124
114101	2019	9	T3	07-058	950	240	710	97	129	100
114101	2019	10	T4	07-058	1190	305	885	123	250	113
114101	2019	11	T4	07-058	1077	274	803	122	196	95
114101	2019	12	T4	07-058	874	248	626	132	51	60
114103	2019	1	T1	07-058	1402	336	1066	236	355	62
114103	2019	2	T1	07-058	1058	315	743	234	227	52
114103	2019	3	T1	07-058	1193	262	931	200	295	63
114103	2019	4	T2	07-058	1423	393	1030	293	333	78
114103	2019	5	T2	07-058	1485	406	1079	300	378	139
114103	2019	6	T2	07-058	1232	327	905	222	281	91
114103	2019	7	T3	07-058	1506	421	1085	307	337	129
114103	2019	8	T3	07-058	1455	373	1082	265	383	98
114103	2019	9	T3	07-058	1115	257	858	211	289	87
114103	2019	10	T4	07-058	1266	331	935	244	549	86
114103	2019	11	T4	07-058	975	208	767	148	470	48
114103	2019	12	T4	07-058	1046	243	803	157	287	71
114105	2019	1	T1	07-058	647	225	422	174	108	62
114105	2019	2	T1	07-058	398	130	268	107	83	37
114105	2019	3	T1	07-058	682	239	443	171	129	103
114105	2019	4	T2	07-058	564	193	371	137	102	60
114105	2019	5	T2	07-058	615	254	361	175	127	65
114105	2019	6	T2	07-058	802	364	438	252	159	90
114105	2019	7	T3	07-058	697	303	394	241	84	83
114105	2019	8	T3	07-058	864	327	537	263	183	97
114105	2019	9	T3	07-058	514	189	325	127	106	58
114105	2019	10	T4	07-058	576	193	383	135	150	64
114105	2019	11	T4	07-058	586	211	375	154	161	58
114105	2019	12	T4	07-058	442	160	282	124	121	36
200282	2019	1	T1	07-058	165	50	115	47	27	13
200282	2019	2	T1	07-058	171	52	119	43	32	25
200282	2019	3	T1	07-058	118	37	81	35	28	20
200282	2019	4	T2	07-058	222	56	166	52	45	31
200282	2019	5	T2	07-058	155	51	104	47	31	16
200282	2019	6	T2	07-058	201	59	142	57	28	19
200282	2019	7	T3	07-058	231	87	144	79	40	22
200282	2019	8	T3	07-058	330	138	192	124	60	33
200282	2019	9	T3	07-058	304	133	171	117	67	44
200282	2019	10	T4	07-058	254	113	141	101	63	30
200282	2019	11	T4	07-058	204	82	122	66	86	38
200282	2019	12	T4	07-058	102	34	68	26	36	16
114101	2020	1	T1	07-058	1208	338	870	150	200	29
114101	2020	2	T1	07-058	941	297	644	146	182	85
114101	2020	3	T1	07-058	696	214	482	105	142	54
114101	2020	4	T2	07-058	103	14	89	9	56	2
114101	2020	5	T2	07-058	132	43	89	16	32	10
114101	2020	6	T2	07-058	95	12	83	3	0	1
114101	2020	7	T3	07-058	184	31	153	7	17	6
114101	2020	8	T3	07-058	219	61	158	34	15	6
114101	2020	9	T3	07-058	475	129	346	55	37	28
114101	2020	10	T4	07-058	712	176	536	57	74	60
114101	2020	11	T4	07-058	842	181	661	79	9	80
114101	2020	12	T4	07-058	751	149	602	51	88	78
