COD_DEIS	Año	Mes	COD_SIGTE	CONSULTAS	CONSULTAS_NUEVA	CONSULTAS_CONTROL	PERTINENTES	NSP	NSP_NUEVA	ALTAS
114101	2018	1	07-002	0	0	0	0	0	0	0
114101	2018	1	07-003	1808	457	1351	0	203	0	94
114101	2018	1	07-004	824	294	530	56	72	0	89
114101	2018	1	07-005	1060	147	913	36	111	0	7
114101	2018	1	07-006	0	0	0	0	0	0	0
114101	2018	1	07-007	27	11	16	1	8	0	1
114101	2018	1	07-008	5	0	5	0	0	0	0
114101	2018	1	07-009	278	166	112	40	32	32	26
114101	2018	1	07-010	267	140	127	53	61	0	70
114101	2018	1	07-011	311	97	214	19	49	0	15
114101	2018	1	07-012	1114	424	690	0	255	62	128
114101	2018	1	07-013	405	25	380	3	0	0	35
114101	2018	1	07-014	715	87	628	0	61	0	13
114101	2018	1	07-015	439	54	385	0	66	66	11
114101	2018	1	07-016	170	91	79	0	19	0	23
114101	2018	1	07-017	788	154	634	0	99	99	40
114101	2018	1	07-018	481	120	361	0	56	0	12
114101	2018	1	07-019	366	74	292	0	86	86	31
114101	2018	1	07-020	34	8	26	0	3	3	1
114101	2018	1	07-021	0	0	0	0	0	0	0
114101	2018	1	07-022	158	48	110	13	36	36	15
114101	2018	1	07-023	796	155	641	47	169	0	15
114101	2018	1	07-025	433	35	398	3	87	0	2
114101	2018	1	07-026	289	159	130	90	127	0	69
114101	2018	1	07-028	0	0	0	0	0	0	0
114101	2018	1	07-029	130	0	0	3	2	0	126
114101	2018	1	07-030	1022	73	949	4	113	0	14
114101	2018	1	07-035	0	0	0	0	0	0	0
114101	2018	1	07-037	1623	149	1474	44	137	0	4
114101	2018	1	07-038	356	56	300	4	33	33	10
114101	2018	1	07-039	173	13	160	0	49	49	2
114101	2018	1	07-040	471	163	308	9	63	16	52
114101	2018	1	07-041	948	243	705	63	82	0	25
114101	2018	1	07-042	995	199	796	86	148	148	32
114101	2018	1	07-044	3308	874	2434	0	308	49	80
114101	2018	1	07-045	733	54	679	0	43	0	11
114101	2018	1	07-046	1652	547	1105	0	248	61	67
114101	2018	1	07-047	181	29	152	3	38	38	25
114101	2018	1	07-048	1230	33	1197	0	274	0	18
114101	2018	1	07-049	178	40	138	0	0	0	0
114101	2018	1	07-051	1102	76	1026	0	51	0	4
114101	2018	1	07-053	2975	890	2085	129	399	0	118
114101	2018	1	07-054	826	218	608	73	84	0	10
114101	2018	1	07-055	393	67	326	0	59	59	33
114101	2018	1	07-056	121	40	81	11	11	0	5
114101	2018	1	07-057	83	30	53	1	11	11	0
114101	2018	1	07-058	1086	209	877	82	182	0	106
114101	2018	1	07-059	451	94	357	0	50	50	28
114101	2018	1	07-060	549	214	335	0	2	2	142
114101	2018	1	07-061	0	0	0	0	0	0	0
114101	2018	1	07-062	0	0	0	0	0	0	0
114101	2018	1	07-063	0	0	0	0	0	0	0
114101	2018	1	07-064	401	54	347	0	107	107	9
114101	2018	1	07-065	127	54	73	0	15	15	7
114101	2018	1	07-066	621	213	408	7	111	0	32
114101	2018	1	07-067	1395	575	820	132	222	222	287
114101	2018	1	07-068	138	55	83	20	39	39	3
114101	2018	2	07-002	0	0	0	0	0	0	0
114101	2018	2	07-003	1199	235	964	0	181	0	92
114101	2018	2	07-004	606	198	408	28	88	0	70
114101	2018	2	07-005	1020	139	881	19	84	0	3
114101	2018	2	07-006	0	0	0	0	0	0	0
114101	2018	2	07-007	27	13	14	1	11	0	7
114101	2018	2	07-008	0	0	0	0	0	0	0
114101	2018	2	07-009	120	92	28	26	29	29	7
114101	2018	2	07-010	277	151	126	55	62	0	69
114101	2018	2	07-011	278	104	174	19	39	0	4
114101	2018	2	07-012	767	307	460	0	202	45	99
114101	2018	2	07-013	211	11	200	1	0	0	8
114101	2018	2	07-014	662	91	571	0	81	0	8
114101	2018	2	07-015	344	45	299	0	71	71	13
114101	2018	2	07-016	118	35	83	0	24	0	7
114101	2018	2	07-017	410	68	342	0	82	82	17
114101	2018	2	07-018	361	88	273	0	50	0	12
114101	2018	2	07-019	218	49	169	0	77	77	13
114101	2018	2	07-020	25	5	20	0	5	5	2
114101	2018	2	07-021	0	0	0	0	0	0	0
114101	2018	2	07-022	79	30	49	6	16	16	6
114101	2018	2	07-023	496	120	376	36	69	0	16
114101	2018	2	07-025	390	27	363	3	78	0	0
114101	2018	2	07-026	206	120	86	57	98	0	58
114101	2018	2	07-028	0	0	0	0	0	0	0
114101	2018	2	07-029	211	0	0	1	3	0	208
114101	2018	2	07-030	1492	240	1252	27	275	0	48
114101	2018	2	07-035	0	0	0	0	0	0	0
114101	2018	2	07-037	851	86	765	30	101	0	2
114101	2018	2	07-038	379	58	321	5	77	77	13
114101	2018	2	07-039	168	7	161	0	35	35	5
114101	2018	2	07-040	322	112	210	44	41	10	42
114101	2018	2	07-041	916	234	682	55	87	0	38
114101	2018	2	07-042	576	90	486	43	109	109	21
114101	2018	2	07-044	3612	868	2744	0	309	36	55
114101	2018	2	07-045	683	78	605	1	58	0	9
114101	2018	2	07-046	880	261	619	0	178	82	42
114101	2018	2	07-047	166	21	145	3	52	52	34
114101	2018	2	07-048	860	34	826	0	151	0	5
114101	2018	2	07-049	74	11	63	0	0	0	0
114101	2018	2	07-051	666	43	623	0	35	0	3
114101	2018	2	07-053	2509	779	1730	203	348	0	96
114101	2018	2	07-054	790	204	586	76	77	0	14
114101	2018	2	07-055	482	85	397	0	79	79	60
114101	2018	2	07-056	142	32	110	5	17	0	3
114101	2018	2	07-057	72	21	51	0	10	10	5
114101	2018	2	07-058	708	148	560	64	166	0	84
114101	2018	2	07-059	362	57	305	0	40	40	15
114101	2018	2	07-060	445	174	271	0	1	1	115
114101	2018	2	07-061	0	0	0	0	0	0	0
114101	2018	2	07-062	1	1	0	0	0	0	1
114101	2018	2	07-063	0	0	0	0	0	0	0
114101	2018	2	07-064	210	40	170	0	71	71	3
114101	2018	2	07-065	101	31	70	0	21	21	8
114101	2018	2	07-066	477	129	348	11	86	0	26
114101	2018	2	07-067	1067	426	641	115	140	140	224
114101	2018	2	07-068	118	68	50	33	40	40	11
114101	2018	3	07-002	0	0	0	0	0	0	0
114101	2018	3	07-003	1607	362	1245	0	174	0	113
114101	2018	3	07-004	851	281	570	51	102	0	102
114101	2018	3	07-005	1273	169	1104	55	94	0	22
114101	2018	3	07-006	0	0	0	0	0	0	0
114101	2018	3	07-007	42	21	21	0	5	0	7
114101	2018	3	07-008	0	0	0	0	0	0	0
114101	2018	3	07-009	332	205	127	43	51	51	37
114101	2018	3	07-010	333	167	166	61	86	0	85
114101	2018	3	07-011	522	195	327	34	86	0	22
114101	2018	3	07-012	1143	442	701	0	297	62	151
114101	2018	3	07-013	390	20	370	3	0	0	16
114101	2018	3	07-014	921	120	801	0	97	0	9
114101	2018	3	07-015	583	67	516	0	85	85	18
114101	2018	3	07-016	155	23	132	0	17	0	5
114101	2018	3	07-017	938	151	787	0	105	105	45
114101	2018	3	07-018	469	103	366	0	58	0	13
114101	2018	3	07-019	448	102	346	0	81	81	25
114101	2018	3	07-020	28	5	23	0	0	0	3
114101	2018	3	07-021	0	0	0	0	0	0	0
114101	2018	3	07-022	210	48	162	5	29	29	28
114101	2018	3	07-023	831	146	685	39	109	0	25
114101	2018	3	07-025	505	49	456	9	92	0	1
114101	2018	3	07-026	328	181	147	93	113	0	87
114101	2018	3	07-028	0	0	0	0	0	0	0
114101	2018	3	07-029	162	0	0	0	0	0	156
114101	2018	3	07-030	1943	385	1558	61	321	0	50
114101	2018	3	07-035	0	0	0	0	0	0	0
114101	2018	3	07-037	1782	162	1620	69	173	0	6
114101	2018	3	07-038	564	79	485	11	70	70	18
114101	2018	3	07-039	183	13	170	0	44	44	11
114101	2018	3	07-040	539	184	355	92	67	17	55
114101	2018	3	07-041	1146	292	854	60	102	0	50
114101	2018	3	07-042	1190	182	1008	81	177	177	27
114101	2018	3	07-044	4447	690	3757	0	360	52	73
114101	2018	3	07-045	783	100	683	3	54	0	13
114101	2018	3	07-046	1713	502	1211	0	298	104	86
114101	2018	3	07-047	82	15	67	0	10	10	11
114101	2018	3	07-048	1207	56	1151	0	288	0	17
114101	2018	3	07-049	212	30	182	0	0	0	0
114101	2018	3	07-051	970	47	923	0	61	0	8
114101	2018	3	07-053	3109	816	2293	120	394	0	126
114101	2018	3	07-054	646	128	518	35	58	0	13
114101	2018	3	07-055	536	103	433	0	70	70	46
114101	2018	3	07-056	197	50	147	12	17	0	7
114101	2018	3	07-057	81	24	57	0	11	11	2
114101	2018	3	07-058	1239	333	906	146	147	0	121
114101	2018	3	07-059	345	35	310	0	40	40	20
114101	2018	3	07-060	435	83	352	0	2	2	123
114101	2018	3	07-061	0	0	0	0	0	0	0
114101	2018	3	07-062	2	2	0	0	1	1	2
114101	2018	3	07-063	0	0	0	0	0	0	0
114101	2018	3	07-064	377	30	347	0	91	91	5
114101	2018	3	07-065	138	32	106	0	13	13	9
114101	2018	3	07-066	572	193	379	7	110	0	38
114101	2018	3	07-067	1437	540	897	92	200	200	286
114101	2018	3	07-068	187	60	127	13	42	42	9
114101	2018	4	07-002	0	0	0	0	0	0	0
114101	2018	4	07-003	1633	278	1355	38	193	0	87
114101	2018	4	07-004	1005	328	677	81	122	0	130
114101	2018	4	07-005	1177	187	990	40	69	0	18
114101	2018	4	07-006	0	0	0	0	0	0	0
114101	2018	4	07-007	31	13	18	0	5	0	1
114101	2018	4	07-008	0	0	0	0	0	0	0
114101	2018	4	07-009	366	202	164	50	34	34	50
114101	2018	4	07-010	321	156	165	39	84	0	86
114101	2018	4	07-011	413	128	285	21	67	0	12
114101	2018	4	07-012	1030	406	624	126	294	76	129
114101	2018	4	07-013	443	24	419	2	0	0	7
114101	2018	4	07-014	908	109	799	17	57	0	21
114101	2018	4	07-015	592	68	524	22	78	78	29
114101	2018	4	07-016	252	116	136	25	16	0	23
114101	2018	4	07-017	873	143	730	18	77	77	38
114101	2018	4	07-018	627	142	485	36	56	0	22
114101	2018	4	07-019	463	105	358	26	80	80	28
114101	2018	4	07-020	48	13	35	0	4	4	2
114101	2018	4	07-021	0	0	0	0	0	0	0
114101	2018	4	07-022	143	37	106	5	21	21	28
114101	2018	4	07-023	973	188	785	57	111	0	26
114101	2018	4	07-025	569	57	512	10	100	0	0
114101	2018	4	07-026	282	138	144	78	91	0	86
114101	2018	4	07-028	0	0	0	0	0	0	0
114101	2018	4	07-029	123	0	0	1	2	0	119
114101	2018	4	07-030	1728	317	1411	34	262	0	44
114101	2018	4	07-035	0	0	0	0	0	0	0
114101	2018	4	07-037	1281	159	1122	73	187	0	1
114101	2018	4	07-038	489	60	429	5	84	84	15
114101	2018	4	07-039	174	20	154	0	49	49	9
114101	2018	4	07-040	536	168	368	87	80	25	45
114101	2018	4	07-041	1036	224	812	58	98	0	37
114101	2018	4	07-042	1162	206	956	65	148	148	39
114101	2018	4	07-044	4461	786	3675	40	363	60	67
114101	2018	4	07-045	702	51	651	2	41	0	12
114101	2018	4	07-046	1604	434	1170	101	246	106	71
114101	2018	4	07-047	106	41	65	2	20	20	11
